,电影名,评分,上映日期,导演,主演,片长,网址
79,沉默的羔羊 The Silence of the Lambs,8.8,1991-02-14(美国),乔纳森·戴米,朱迪·福斯特,118分钟,https://movie.douban.com/subject/1293544/
80,海蒂和爷爷 Heidi,9.2,2019-05-16(中国大陆),阿兰·葛斯彭纳,阿努克·斯特芬,111分钟,https://movie.douban.com/subject/25958717/
81,蝴蝶效应 The Butterfly Effect,8.8,2004-01-23(美国),埃里克·布雷斯,阿什顿·库彻,113分钟,https://movie.douban.com/subject/1292343/
82,被嫌弃的松子的一生 嫌われ松子の一生,8.9,2006-05-27(日本),中岛哲也,中谷美纪,130 分钟,https://movie.douban.com/subject/1787291/
83,春光乍泄 春光乍洩,8.9,1997-05-30(中国香港),王家卫,张国荣,96分钟,https://movie.douban.com/subject/1292679/
84,禁闭岛 Shutter Island,8.8,2010-02-13(柏林电影节),马丁·斯科塞斯,莱昂纳多·迪卡普里奥,138 分钟,https://movie.douban.com/subject/2334904/
85,心灵捕手 Good Will Hunting,8.9,1997-12-05(美国),格斯·范·桑特,马特·达蒙,126 分钟,https://movie.douban.com/subject/1292656/
86,布达佩斯大饭店 The Grand Budapest Hotel,8.8,2014-02-06(柏林电影节),韦斯·安德森,拉尔夫·费因斯,99分钟,https://movie.douban.com/subject/11525673/
87,阿凡达 Avatar,8.7,2010-01-04(中国大陆),詹姆斯·卡梅隆,萨姆·沃辛顿,162分钟,https://movie.douban.com/subject/1652587/
88,剪刀手爱德华 Edward Scissorhands,8.7,1990-12-06(美国),蒂姆·波顿,约翰尼·德普,105分钟,https://movie.douban.com/subject/1292370/
89,勇敢的心 Braveheart,8.9,1995-05-18(西雅图电影节),梅尔·吉布森,梅尔·吉布森,177 分钟,https://movie.douban.com/subject/1294639/
90,摩登时代 Modern Times,9.3,1936-02-25(美国),查理·卓别林,查理·卓别林,87分钟,https://movie.douban.com/subject/1294371/
91,天使爱美丽 Le fabuleux destin d'Amélie Poulain,8.7,2001-04-25(法国),让-皮埃尔·热内,奥黛丽·塔图,122分钟,https://movie.douban.com/subject/1292215/
92,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,8.7,2003-11-21(中国大陆),戈尔·维宾斯基,约翰尼·德普,143 分钟,https://movie.douban.com/subject/1298070/
93,喜剧之王 喜劇之王,8.7,1999-02-13(中国香港),周星驰,周星驰,85分钟,https://movie.douban.com/subject/1302425/
94,致命ID Identity,8.8,2003-04-25(美国),詹姆斯·曼高德,约翰·库萨克,90分钟,https://movie.douban.com/subject/1297192/
95,断背山 Brokeback Mountain,8.8,2005-09-02(威尼斯电影节),李安,希斯·莱杰,134分钟,https://movie.douban.com/subject/1418834/
96,杀人回忆 살인의 추억,8.8,2003-05-02(韩国),奉俊昊,宋康昊,132分钟,https://movie.douban.com/subject/1300299/
97,幽灵公主 もののけ姫,8.9,1997-07-12(日本),宫崎骏,松田洋治,134分钟,https://movie.douban.com/subject/1297359/
98,狩猎 Jagten,9.1,2012-05-20(戛纳电影节),托马斯·温特伯格,麦斯·米科尔森,115分钟,https://movie.douban.com/subject/6985810/
99,入殓师 おくりびと,8.8,2008-09-13(日本),泷田洋二郎,本木雅弘,130 分钟,https://movie.douban.com/subject/2149806/
100,阳光灿烂的日子,8.8,1995-06-28(中国香港),姜文,夏雨,134分钟(中国大陆),https://movie.douban.com/subject/1291875/
101,请以你的名字呼唤我 Call Me by Your Name,8.9,2017-01-22(圣丹斯电影节),卢卡·瓜达尼诺,艾米·汉莫,132分钟,https://movie.douban.com/subject/26799731/
102,重庆森林 重慶森林,8.7,1994-07-14(中国香港),王家卫,林青霞,102分钟,https://movie.douban.com/subject/1291999/
103,第六感 The Sixth Sense,8.9,1999-08-06(美国),M·奈特·沙马兰,布鲁斯·威利斯,107分钟,https://movie.douban.com/subject/1297630/
104,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,8.8,2011-08-04(中国大陆),大卫·叶茨,丹尼尔·雷德克里夫,130分钟,https://movie.douban.com/subject/3011235/
105,小森林 夏秋篇 リトル・フォレスト 夏・秋,9.0,2014-08-30(日本),森淳一,桥本爱,111分钟,https://movie.douban.com/subject/25814705/
106,7号房的礼物 7번방의 선물,8.9,2013-01-23(韩国),李焕庆,柳承龙,127分钟,https://movie.douban.com/subject/10777687/
107,消失的爱人 Gone Girl,8.7,2014-09-26(纽约电影节),大卫·芬奇,本·阿弗莱克,149分钟,https://movie.douban.com/subject/21318488/
108,红辣椒 パプリカ,9.0,2006-09-02(威尼斯电影节),今敏,林原惠美,90 分钟,https://movie.douban.com/subject/1865703/
109,爱在黎明破晓前 Before Sunrise,8.8,1995-01-27(美国),理查德·林克莱特,伊桑·霍克,101分钟,https://movie.douban.com/subject/1296339/
110,玛丽和马克思 Mary and Max,8.9,2009-01-15(圣丹斯电影节),亚当·艾略特,托妮·科莱特,92分钟,https://movie.douban.com/subject/3072124/
111,小森林 冬春篇 リトル・フォレスト 冬・春,9.0,2015-02-14(日本),森淳一,桥本爱,120分钟,https://movie.douban.com/subject/25814707/
112,侧耳倾听 耳をすませば,8.9,1995-07-15(日本),近藤喜文,本名阳子,111分钟,https://movie.douban.com/subject/1297052/
113,一一,9.0,2017-07-28(中国台湾),杨德昌,吴念真,173分钟,https://movie.douban.com/subject/1292434/
114,告白,8.7,2010-06-05(日本),中岛哲也,松隆子,106分钟,https://movie.douban.com/subject/4268598/
115,大鱼 Big Fish,8.8,2003-12-04(纽约首映),蒂姆·波顿,伊万·麦克格雷格,125 分钟,https://movie.douban.com/subject/1291545/
116,唐伯虎点秋香 唐伯虎點秋香,8.6,1993-07-01(中国香港),李力持,周星驰,102 分钟,https://movie.douban.com/subject/1306249/
117,阳光姐妹淘 써니,8.8,2011-05-04(韩国),姜炯哲,沈恩京,124分钟,https://movie.douban.com/subject/4917726/
118,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,8.8,2012-08-27(中国大陆),克里斯托弗·诺兰,克里斯蒂安·贝尔,165分钟,https://movie.douban.com/subject/3395373/
119,射雕英雄传之东成西就 射鵰英雄傳之東成西就,8.7,1993-02-05(中国香港),刘镇伟,梁朝伟,113分钟(香港),https://movie.douban.com/subject/1316510/
